scheme_code,scheme_name,isinGrowth,isinDivReinvestment,fund_house,is_direct_plan,is_growth_plan
100053,Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend,,,Aditya,False,False
100054,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan,,,Aditya,False,False
100055,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan,,,Aditya,False,True
100056,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Regular Plan,,,Aditya,False,False
100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,INF209K01AF6,INF209K01DP9,Aditya,False,False
100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,INF209K01AC3,INF209K01AD1,Aditya,False,True
100059,Aditya Birla Sun Life Gilt Plus-PF Plan (Annual Dividend),,,Aditya,False,False
100060,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,,,Aditya,False,False
100061,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,,,Aditya,False,True
100062,Aditya Birla Sun Life Gilt Plus-Regular Plan (Annual Dividend),,,Aditya,False,False
100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,INF209K01314,INF209K01CL0,Aditya,False,False
100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,INF209K01322,,Aditya,False,True
100065,Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan,,,Aditya,False,False
100066,Aditya Birla Sun Life India Opportunities Fund - Growth - Regular Plan,,,Aditya,False,True
100067,Aditya Birla Sun Life Tax Plan -Regular - IDCW,,,Aditya,False,False
100068,BARODA ELSS 96 - Plan A - IDCW,,,BARODA,False,False
100069,BARODA PIONEER DIVERSIFIED FUND,,,BARODA,False,False
100077,DSP Bond Fund - IDCW,INF740K01565,INF740K01995,DSP,False,False
100078,DSP Bond Fund - Growth,INF740K01557,,DSP,False,True
100079,DSP Bond Fund - IDCW - Monthly,INF740K01573,INF740K01AA1,DSP,False,False
100080,DSP Flexi Cap Fund - Regular Plan - IDCW,INF740K01011,INF740K01029,DSP,False,False
100081,DSP Aggressive Hybrid Fund- Regular Plan - Growth,INF740K01318,,DSP,False,True
100082,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,INF740K01326,INF740K01334,DSP,False,False
100084,DSP Gilt Fund - Regular Plan - Growth,INF740K01615,,DSP,False,True
100085,DSP Gilt Fund - Regular Plan - IDCW,INF740K01607,INF740K01AD5,DSP,False,False
100086,DSP Gilt Fund - Regular Plan - IDCW - Monthly,INF740K01623,INF740K01AE3,DSP,False,False
100087,DSP Savings Fund - Regular Plan - Growth,INF740K01714,,DSP,False,True
100088,DSP Savings Fund - Regular Plan - IDCW,INF740K01706,INF740K01AJ2,DSP,False,False
100089,DSP Savings Fund - Regular Plan - IDCW - Monthly,INF740K01722,INF740K01AK0,DSP,False,False
100090,DSP BlackRock Technology.com   Fund - Regular Plan - Growth,,,DSP,False,True
100119,HDFC Balanced Advantage Fund - Growth Plan,INF179K01830,,HDFC,False,True
100120,HDFC Balanced Advantage Fund - IDCW Plan,INF179K01814,INF179K01822,HDFC,False,False
100121,HDFC Balanced Fund - Dividend Option,,,HDFC,False,False
100122,HDFC Balanced Fund - Growth Option,,,HDFC,False,True
100123,HDFC Income Fund - Quarterly IDCW Option,INF179K01947,INF179K01954,HDFC,False,False
100124,HDFC Income Fund - Growth Option,INF179K01962,,HDFC,False,True
100136,Principal Deposit Fund-Plan 54EA/EB-Plan 54EA /EB,,,Principal,False,False
100150,Principal Child Benefit Fund-Super Saver-Future Guard Plan,,,Principal,False,False
100151,Principal Retail Equity Savings Fund - Growth Option,,,Principal,False,True
100152,Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,,,Principal,False,False
100153,Principal Nifty 100 Equal Weight Fund-Growth,,,Principal,False,True
100154,Principal Equity Fund-Dividend,,,Principal,False,False
100155,Principal Equity Fund-Growth,,,Principal,False,True
100156,Principal Tax Savings Fund,,,Principal,False,False
100171,Quant Dynamic Bond-Dividend,,,Quant,False,False
100172,Quant Dynamic Bond-Growth,,,Quant,False,True
100173,Quant Dynamic Bond-Bonus,,,Quant,False,False
100174,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,INF966L01119,,quant,False,False
100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,INF966L01135,,quant,False,True
100176,quant Small Cap Fund - IDCW Option - Regular Plan,INF206A01022,INF966L01044,quant,False,False
100177,quant Small Cap Fund - Growth - Regular Plan,INF966L01AA0,,quant,False,True
100178,ING Income Fund-Regular Plan -Dividend Option (Quarterly),,,ING,False,False
100179,ING Income Fund-Regular Plan -Dividend Option (Half Yearly),,,ING,False,False
100180,ING Income Fund- Regular Plan - Dividend Option (Annual),,,ING,False,False
100181,ING Income Fund-Regular Plan -Growth Option,,,ING,False,True
100182,ING Income Fund-Institutional Plan - Dividend Option (Half Yearly),,,ING,False,False
100183,ING Income Fund-Institutional Plan - Dividend Option (Quarterly),,,ING,False,False
100184,ING Income Fund-Institutional Plan -Dividend Option (Annual),,,ING,False,False
100185,ING Income Fund-Bonus Option,,,ING,False,False
100186,ING Income Fund-Institutional Bonus Option,,,ING,False,False
100187,ING Income Fund-Institutional Plan - Growth Option,,,ING,False,True
100188,ING Core Equity Fund-Dividend Option,,,ING,False,False
100189,ING Core Equity Fund-Growth Option,,,ING,False,True
100190,ING Liquid Fund-Regular Growth Option,,,ING,False,True
100191,ING Liquid Fund-Regular Weekly Dividend Option,,,ING,False,False
100192,ING Liquid Fund-Regular Daily Dividend Option,,,ING,False,False
100194,ING Liquid Fund-Auto Sweep Growth Option,,,ING,False,True
100195,ING Liquid Fund-Auto Sweep Weekly Dividend Option,,,ING,False,False
100196,ING Liquid Fund-Institutional Growth Option,,,ING,False,True
100197,ING Liquid Fund-Institutional Weekly Dividend Option,,,ING,False,False
100198,ING Liquid Fund-Institutional Daily Dividend Option,,,ING,False,False
100199,ING Liquid Fund-Super Institutional Growth Option,,,ING,False,True
100200,ING Liquid Fund-Super Institutional Daily Dividend Option,,,ING,False,False
100201,ING Liquid Fund-Super Institutional Weekly Dividend Option,,,ING,False,False
100202,ING Balanced Fund-Dividend Option,,,ING,False,False
100203,ING Balanced Fund-Growth Option,,,ING,False,True
100218,JM Large Cap Fund (Regular) - IDCW ,INF192K01585,INF192K01593,JM,False,False
100219,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,,JM,False,True
100220,JM Aggressive Hybrid Fund (Regular) - IDCW,INF192K01528,INF192K01536,JM,False,False
100221,JM Aggressive Hybrid Fund (Regular) -Growth Option,INF192K01544,,JM,False,True
100222,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,INF192K01999,INF192K01AA5,JM,False,False
100223,JM Medium to Long Duration Fund (Regular) - Growth Option,INF192K01AB3,,JM,False,True
100233,JM Liquid Fund (Regular) - Weekly IDCW,INF192K01841,INF192K01858,JM,False,False
100234,JM Liquid Fund - Growth Option,INF192K01882,,JM,False,True
100237,JM High Liquidity Fund-- Institutional Plan - Growth,,,JM,False,True
100238,JM High Liquidity Fund-Institutional Plan - Daily Dividend,,,JM,False,False
100241,JM High Liquidity Fund-- Institutional Plan - Dividend,,,JM,False,False
100243,JM High Liquidity Fund-- Premium Plan - Daily Dividend Option,,,JM,False,False
100244,JM Liquid Fund (Regular) - Quarterly IDCW,INF192K01866,INF192K01874,JM,False,False
100245,JM High Liquidity Fund-Super Institutional Plan- Daily Dividend,,,JM,False,False
100246,JM High Liquidity Fund-Super Institutional Plan- Weekly  Dividend,,,JM,False,False
100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,INF192K01981,,JM,False,True
100249,JM G-Sec Fund - Quarterly Dividend Option,,,JM,False,False
100250,JM G-Sec Fund - Growth Option,,,JM,False,True
100251,JM G-Sec Fund-PF Plan - Growth Plan,,,JM,False,True
100252,JM G-Sec Fund-PF Plan -Dividend Plan,,,JM,False,False
100253,JM G-Sec Fund - Bonus Option - Principal Units,,,JM,False,False
100254,JM Value Fund (Regular) - Growth Option,INF137A01037,,JM,False,True
100261,Kotak Gilt-Savings-Monthly Dividend,,,Kotak,False,False
100262,Kotak Gilt-Savings-Growth,,,Kotak,False,True
100263,Kotak Gilt-Savings-Annual Dividend,,,Kotak,False,False
100264,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,INF174K01FK1,INF174K01FJ3,Kotak,False,False
100265,Kotak Gilt-Investment Regular-Growth,INF174K01FI5,,Kotak,False,True
100278,Kotak Gilt-Serial 2019-Dividend,,,Kotak,False,False
100279,Kotak Gilt-Serial 2019-Growth,,,Kotak,False,True
100280,Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,INF174K01FM7,,Kotak,False,False
100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth,INF174K01FL9,,Kotak,False,True
100282,HDFC FMP 3M MAY 2006(1)-INSTITUTIONAL PLAN-Growth,,,HDFC,False,True
100283,HDFC FMP 3M MAY 2006(1)-INSTITUTIONAL PLAN-Dividend,,,HDFC,False,False
100284,HDFC FMP 3M MAY 2006(1)-RETAIL-Growth,,,HDFC,False,True
100285,HDFC FMP 3M MAY 2006(1)-RETAIL-Dividend,,,HDFC,False,False
100286,Kotak Aggressive Hybrid Fund - Regular Plan - IDCW - Payout & Reinvestment of Income Distribution cum capital withdrawal option,INF174K01450,INF174K01443,Kotak,False,False
100289,Kotak Tech,,,Kotak,False,False
100290,Kotak MNC,,,Kotak,False,False
100291,Kotak Bond-Deposit-Dividend,,,Kotak,False,False
100292,Kotak Bond-Deposit-Growth,,,Kotak,False,True
100298,Kotak Bond Regular Plan Quaterly Payout of Income Distribution cum capital withdrawal option,,,Kotak,False,False
100299,Kotak Bond Fund - Regular Plan Growth,INF174K01EM0,,Kotak,False,True
100300,Kotak Bond Fund - Regular Plan - Standard IDCW Option,INF174K01EQ1,INF174K01EP3,Kotak,False,False
100301,Kotak Bond Regular Plan Bonus Plan,,,Kotak,False,False
100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,INF767K01063,INF767K01055,LIC,False,False
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,INF767K01071,,LIC,False,True
100314,LIC MF Medium to Long Duration Fund-Regular Plan-IDCW,INF767K01907,INF767K01915,LIC,False,False
100315,LIC MF Medium to Long Duration Fund-Regular Plan-Growth,INF767K01923,,LIC,False,True
100316,LIC MF Gilt Fund-Regular Plan-IDCW,INF767K01683,INF767K01691,LIC,False,False
100317,LIC MF Gilt Fund-Regular Plan-Growth,INF767K01709,,LIC,False,True
100318,LIC MF Gilt Fund-PF Plan-IDCW,INF767K01717,INF767K01725,LIC,False,False
100319,LIC MF Gilt Fund-PF Plan-Growth,INF767K01733,,LIC,False,True
100321,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW,INF767K01022,INF767K01014,LIC,False,False
100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,INF767K01030,,LIC,False,True
100325,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,,INF767K01964,LIC,False,False
100332,LIC MF Large Cap Fund-Regular Plan-IDCW,INF767K01097,INF767K01089,LIC,False,False
100337,SaharaTax Gain-Dividend,,,SaharaTax,False,False
100338,SaharaTax Gain-Growth,,,SaharaTax,False,True
100347,Morgan Stanley Growth Fund- Regular Growth Plan,,,Morgan,False,True
100348,ICICI Prudential Large & Mid Cap Fund - IDCW,INF109K01EQ7,INF109K01449,ICICI,False,False
100349,ICICI Prudential Large & Mid Cap Fund - Growth,INF109K01431,,ICICI,False,True
100350,ICICI Prudential Large & Mid Cap Fund - Institutional Option - I - Growth,,,ICICI,False,True
100351,ICICI Prudential FMCG Fund - IDCW,INF109K01EO2,INF109K01423,ICICI,False,False
100352,ICICI Prudential FMCG Fund - Growth,INF109K01415,,ICICI,False,True
100353,ICICI Prudential ELSS Tax Saver Fund - IDCW,INF109K01FN1,INF109K01472,ICICI,False,False
100354,ICICI Prudential ELSS Tax Saver Fund - Growth,INF109K01464,,ICICI,False,True
100355,ICICI Prudential Equity & Debt Fund - Monthly IDCW,INF109K01DX5,INF109K01498,ICICI,False,False
100356,ICICI Prudential Equity & Debt Fund - Growth,INF109K01480,,ICICI,False,True
100357,ICICI Prudential Liquid Fund -Quarterly IDCW,,,ICICI,False,False
100358,ICICI Prudential Liquid Fund-Dividend-Institutional Quarterly,,,ICICI,False,False
100359,ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,,,ICICI,False,False
100360,ICICI Prudential Liquid Institutional Plus Fund - Div - Weekly,,,ICICI,False,False
100361,ICICI Prudential Liquid Fund-Dividend-Institutional Plus - Monthly,,,ICICI,False,False
100362,ICICI Prudential Liquid Institutional Plus Fund - Growth,,,ICICI,False,True
100363,ICICI Prudential Technology Fund - Growth,INF109K01506,,ICICI,False,True
100364,ICICI Prudential Long Term Bond Fund - Half Yearly IDCW,,,ICICI,False,False
100365,ICICI Prudential Long Term Bond Fund - Growth,INF109K01365,,ICICI,False,True
100366,ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend,,,ICICI,False,False
100367,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,INF109K01EZ8,INF109K01399,ICICI,False,False
100368,ICICI Prudential Gilt Fund - IDCW,INF109K01JQ6,INF109K01JP8,ICICI,False,False
100369,ICICI Prudential Gilt Fund - Growth,INF109K01JR4,,ICICI,False,True
100370,ICICI Prudential Short Term Gilt Fund - Dividend,,,ICICI,False,False
100371,ICICI Prudential Short Term Gilt Fund - Growth,,,ICICI,False,True
100372,ICICI Prudential Short Term Gilt Fund - Half Yearly Dividend,,,ICICI,False,False
100375,NIPPON INDIA GROWTH MID CAP FUND - IDCW Option,INF204K01299,INF204K01307,NIPPON,False,True
100376,Nippon India Growth Mid Cap Fund-Growth Plan-Bonus Option,INF204K01315,,Nippon,False,True
100377,Nippon India Growth Mid Cap Fund-Growth Plan-Growth Option,INF204K01323,,Nippon,False,True
100378,Nippon India Vision Large & Midcap Fund - IDCW Option,INF204K01372,INF204K01380,Nippon,False,False
100379,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Bonus Option,INF204K01398,,Nippon,False,True
100380,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Growth Option,INF204K01406,,Nippon,False,True
100381,UTI Large Cap Fund-Income Option,,,UTI,False,False
100382,UTI Large Cap Fund-Growth Option,,,UTI,False,True
100383,NIPPON INDIA MEDIUM TO LONG DURATION FUND - MONTHLY IDCW Option,INF204K01CN7,INF204K01CO5,NIPPON,False,False
100384,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - QUARTERLY IDCW Option,INF204K01CP2,INF204K01CQ0,NIPPON,False,False
100385,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - HALF YEARLY IDCW Option,INF204K01CR8,INF204K01CS6,NIPPON,False,False
100386,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - ANNUAL IDCW Option,INF204K01CT4,INF204K01CU2,NIPPON,False,False
100387,Nippon India Medium to Long Duration  Fund - Growth Plan Growth Option,INF204K01CL1,,Nippon,False,True
100388,Nippon India Medium to Long Duration  Fund - Growth Plan Bonus Option,INF204K01CM9,,Nippon,False,True
100414,Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,INF277K01303,,Tata,False,True
100415,Tata Ethical Fund-Regular Plan - Growth Option,INF277K01956,,Tata,False,True
100416,Tata Long Term Debt Fund - Regular Plan - Quarterly Dividend,,,Tata,False,False
100417,Tata Income Fund-Regular Plan - Half Yearly Payout of IDCW Option,,,Tata,False,False
100418,Tata Income Fund -Regular Plan - Growth Option,,,Tata,False,True
100470,Franklin India Large Cap Fund - IDCW,INF090I01155,INF090I01163,Franklin,False,False
100471,Franklin India Large Cap Fund-Growth,INF090I01171,,Franklin,False,True
100472,Franklin India Mid Cap Fund - IDCW,INF090I01726,INF090I01734,Franklin,False,False
100473,Franklin India Mid Cap Fund-Growth,INF090I01809,,Franklin,False,True
100474,Tata ELSS Fund- Regular Plan - Payout of IDCW Option,INF277K01I60,,Tata,False,False
100475,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,,Tata,False,True
100476,Taurus Flexi Cap Fund - Regular Plan - Growth ,INF044D01989,,Taurus,False,True
100477,Taurus Mid Cap Fund - Regular Plan - Growth,INF044D01815,,Taurus,False,True
100480,Taurus ELSS Tax Saver Fund - Regular Plan - Growth,INF044D01AC9,,Taurus,False,True
100481,Franklin India Balanced Fund-Growth,,,Franklin,False,True
100482,Franklin India Balanced Fund-Div,,,Franklin,False,False
100483,Franklin India Growth Fund,,,Franklin,False,True
100484,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth,INF090I01890,,Franklin,False,True
100485,Franklin India Govt.Sec. Fund-Composite Plan - Growth,,,Franklin,False,True
100486,Franklin India Govt.Sec. Fund-Composite Plan - Dividend,,,Franklin,False,False
100487,Franklin India Govt.Sec. Fund-Treasury Plan(Dividend Option),,,Franklin,False,False
100489,Franklin India Govt.Sec. Fund-Treasury Plan(Growth Option),,,Franklin,False,True
100490,Franklin India Govt.Sec. Fund-PF Plan - Growth,,,Franklin,False,True
100491,Franklin India Govt.Sec. Fund-PF Plan - Dividend,,,Franklin,False,False
100493,Franklin India Government Securities Fund - Growth,INF090I01CU9,,Franklin,False,True
100494,Franklin India Government Securities Fund - IDCW ,INF090I01CS3,INF090I01CT1,Franklin,False,False
100495,Franklin India Govt.Sec. Fund-Long Term Plan - Bonus,,,Franklin,False,False
100496,Templeton India Value Fund - Growth Plan,INF090I01296,,Templeton,False,True
100497,Templeton India Value Fund - IDCW ,INF090I01270,INF090I01288,Templeton,False,False
100498,Franklin India Dynamic Accrual Fund - IDCW ,,,Franklin,False,False
100499,Franklin India Dynamic Accrual Fund-Growth,,,Franklin,False,True
100501,Templeton India Liquid Fund-Growth,,,Templeton,False,True
100503,Franklin India Low Duration Fund - Monthly - IDCW,,,Franklin,False,False
100504,Franklin India Low Duration Fund - Quarterly - IDCW,,,Franklin,False,False
100505,Templeton Monthly Income Plan-Half Yearly Dividend,,,Templeton,False,False
100506,Templeton Monthly Income Plan-Growth,,,Templeton,False,True
100519,Franklin India Flexi Cap Fund - IDCW ,INF090I01213,INF090I01221,Franklin,False,False
100520,Franklin India Flexi Cap Fund - Growth,INF090I01239,,Franklin,False,True
100521,Franklin India Technology Fund - IDCW ,INF090I01759,INF090I01767,Franklin,False,False
100522,Franklin India Technology Fund-Growth,INF090I01742,,Franklin,False,True
100523,Franklin FMCG Fund - Growth,,,Franklin,False,True
100524,Franklin INDIA OPPORTUNITIES FUND - IDCW ,INF090I01858,INF090I01866,Franklin,False,False
100525,Franklin India ELSS Tax Saver Fund - IDCW,INF090I01783,INF090I01791,Franklin,False,False
100526,Franklin India ELSS Tax Saver Fund-Growth,INF090I01775,,Franklin,False,True
100527,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,INF090I01DH4,INF090I01DI2,Franklin,False,False
100528,Franklin India Corporate Debt Fund - Growth,INF090I01DG6,,Franklin,False,True
100529,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,INF090I01DJ0,INF090I01DK8,Franklin,False,False
100530,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,INF090I01DL6,INF090I01DM4,Franklin,False,False
100531,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,INF090I01DN2,INF090I01DO0,Franklin,False,False
100532,Franklin India Corporate Debt Fund - Monthly Bonus,,,Franklin,False,False
100535,Franklin India Retirement Fund - IDCW,INF090I01528,INF090I01536,Franklin,False,False
100536,Franklin India Retirement Fund - Growth,INF090I01510,,Franklin,False,True
100537,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,INF090I01BL0,INF090I01BI6,Franklin,False,False
100538,Franklin India Liquid Fund - Regular Plan - Growth,INF090I01BB1,,Franklin,False,True
100541,Franklin India Liquid Fund - Regular Plan - Daily - IDCW,,INF090I01BA3,Franklin,False,False
100542,Franklin India Liquid Fund - Liquid Plan - Weekly Dividend,,,Franklin,False,False
100543,Franklin India Liquid Fund - Liquid Plan - Daily Dividend,,,Franklin,False,False
100544,Franklin India Liquid Fund - Liquid Plan - Growth,,,Franklin,False,True
100546,Franklin India Liquid Fund - Super Institutional Plan - Growth,INF090I01BG0,,Franklin,False,True
100547,Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,,INF090I01BF2,Franklin,False,False
100548,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,INF090I01BM8,INF090I01BH8,Franklin,False,False
100549,Franklin India Aggressive Hybrid Fund - IDCW,INF090I01825,INF090I01833,Franklin,False,False
100550,Franklin India Aggressive Hybrid Fund - Growth Plan,INF090I01817,,Franklin,False,True
100551,Templeton India Children’s Asset Plan-Education Plan,,,Templeton,False,False
100552,Templeton India Children’s Asset Plan-Gift Plan - Growth,,,Templeton,False,True
100553,Templeton India Children’s Asset Plan-Gift Plan - Dividend,,,Templeton,False,False
100555,Franklin India Taxshield 96,,,Franklin,False,False
100556,Franklin India Taxshield 97,,,Franklin,False,False
100557,Franklin India Taxshield 98,,,Franklin,False,False
100558,Franklin India Taxshield 99,,,Franklin,False,False
100561,Templeton India Money Market Account - Bonus Plan,,,Templeton,False,False
100563,DBS Chola Triple Ace-Regular -Cumulative,,,DBS,False,False
100567,DBS Chola Triple Ace-Regular - Quarterly Dividend,,,DBS,False,False
100569,DBS Chola Triple Ace-Semi Annual Dividend,,,DBS,False,False
100573,DBS Chola Triple Ace-Regular Bonus,,,DBS,False,False
100574,DBS Chola Freedom Income -Short Term Fund-Regular-Monthly Dividend,,,DBS,False,False
100575,DBS Chola Freedom Income -Short Term Fund-Regular - Cumulative,,,DBS,False,False
100576,DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan,,,DBS,False,False
100579,DBS Chola Gilt-Investment-Quarterly Dividend,,,DBS,False,False
100580,DBS Chola Gilt-Investment-Cumulative,,,DBS,False,False
100589,Canara Robeco Expo-Income Plan,,,Canara,False,False
100590,Canara Robeco Expo-Growth Plan,,,Canara,False,True
100593,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN -IDCW (Payout),INF760K01084,INF760K01092,CANARA,False,False
100596,CANARA ROBECO GILT FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),INF760K01AB7,INF760K01AC5,CANARA,False,False
100597,CANARA ROBECO GILT FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AE1,,CANARA,False,True
100600,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),INF760K01308,INF760K01316,CANARA,False,False
100601,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION,INF760K01282,,CANARA,False,True
100602,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan-Income Distribution cum Capital Withdrawal(IDCW),INF903J01FR0,INF903J01FU4,Sundaram,False,False
100603,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Growth,INF903J01FQ2,,Sundaram,False,True
100604,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Bonus,INF903J01FX8,,Sundaram,False,False
100605,Sundaram Medium Term Bond Fund -Institutional Plan(Qtrly Dividend),,,Sundaram,False,False
100606,Sundaram Medium Term Bond Fund-Institutional Plan(Half-Yearly Dividend),,,Sundaram,False,False
100607,Sundaram Medium Term Bond Fund -Institutional Plan(Annual Dividend),,,Sundaram,False,False
100608,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan - Growth,INF903J01FY6,,Sundaram,False,True
100609,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan- Half Yearly Income Distribution cum Capital Withdrawal (IDCW),INF903J01FS8,INF903J01FV2,Sundaram,False,False
100610,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Annual Income Distribution cum Capital Withdrawal (IDCW),INF903J01FT6,INF903J01FW0,Sundaram,False,False
100611,Sundaram Medium Term Bond Fund -Institutional Plan - Bonus Option,,,Sundaram,False,False
100612,Sundaram Growth Fund-Dividend,,,Sundaram,False,True
100613,Sundaram Growth Fund-Growth,,,Sundaram,False,True
100614,Sundaram Value Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),INF903J01512,INF903J01520,Sundaram,False,False
100617,Sundaram Equity Hybrid Fund Regular Plan - Growth,,,Sundaram,False,True
100618,Sundaram Money Fund Retail Plan - Growth,,,Sundaram,False,True
100619,Sundaram Money Fund Retail Plan - Quarterly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),,,Sundaram,False,False
100620,Sundaram Money Fund Retail Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),,,Sundaram,False,False
100621,Sundaram Money Fund Retail Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),,,Sundaram,False,False
100622,Sundaram Money Fund Retail Plan - Fortnightly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),,,Sundaram,False,False
100623,Sundaram Money Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),,,Sundaram,False,False
